TeachingAssistant11,49,mika.dallas@msn.com,http://cfrAL5TfOmwHdL.com,-5343307999099505654,-8760261036556185388,Mika Dallas,Latia Elkington,University1,Director10,Professor17,University1,Course28,University1,Program2,University1
TeachingAssistant12,46,doreen.lasson@outlook.com,http://hi3wUj7LhcSX.com,3671990529156456127,-4975847178475570620,Doreen Lasson,Gwenore Stewart,University1,Dean11,AssociateProfessor5,University1,GraduateCourse19,University1,ResearchGroup4,University1
TeachingAssistant13,32,lili.limeina@yahoo.com,http://93Fc9IwcZfm.com,3741563171860643569,-3279337003596414734,Lili Limeina,Jayme Procner,University1,AssociateProfessor8,Dean7,University1,Course12,University1,Department6,University1
TeachingAssistant14,40,fayina.ghossein@gmail.com,http://Pbxl5rckpbZcg.com,3435257557924796598,-7234723878768151516,Fayina Ghossein,Mel Bazik,University1,Person120,FullProfessor4,University1,GraduateCourse21,University1,University1,University1
TeachingAssistant15,33,salli.janseen@yahoo.com,http://BLLjN1.com,-5228535126622095679,4980334702242507533,Salli Janseen,Berni Amarsi,University1,SystemsStaff25,Professor4,University1,GraduateCourse6,University1,College56,University1
TeachingAssistant16,68,auto.unger@mail.com,http://fQ5Uat96Q5y.com,-9025130616608416342,-2653300636600654980,Auto Unger,Deloria Bogert,University1,GraduateCourse16,Chair5,University1,Course3,University1,University1,University1
TeachingAssistant17,38,pammi.kinnaird@gmx.net,http://kaozWPL2e2KLD.com,-3037329622254806393,-3041750726197898711,Pammi Kinnaird,Elhamy Madani,University1,ClericalStaff6,FullProfessor8,University1,Course2,University1,College42,University1
TeachingAssistant18,42,mattie.raines@live.com,http://oBNxIM.com,3092978704151287402,5003477495676697274,Mattie Raines,Nataly Atkinson,University1,Organization1,Professor14,University1,GraduateCourse6,University1,College99,University1
TeachingAssistant19,42,lurlene.aubuchon@hotmail.com,http://xK4Tlly6x.com,-1132519750473405552,7384147886831961202,Lurlene Aubuchon,Emiline Reyes,University1,Lecturer20,AssociateProfessor1,University1,Course39,University1,University1,University1
TeachingAssistant20,40,ceciley.clifford@rocketmail.com,http://YqDk0vC3v.com,7775496669928420901,1656604090590469271,Ceciley Clifford,Cybil SYS,University1,JournalArticle113,AssistantProfessor17,University1,Course15,University1,University1,University1
TeachingAssistant21,30,neely.buckingham@netdove.net,http://XKcaobEnaa.com,6088010573811937484,6411462727047074620,Neely Buckingham,Andriana Krier,University1,Book7,Chair14,University1,GraduateCourse13,University1,University1,University1
TeachingAssistant22,11,merrie.rikley@live.com,http://mCdd1.com,-465104766919526501,-8229619036102967435,Merrie Rikley,JR Chartier,University1,Organization1,Chair5,University1,GraduateCourse9,University1,University1,University1
TeachingAssistant23,16,thinh.stodart@msn.com,http://iEfD7KLfn1.com,-1022130808397335746,-755429748545127596,Thinh Stodart,Takis Leon,University1,Professor4,Chair1,University1,Course27,University1,Program18,University1
TeachingAssistant24,44,charyl.hulvershorn@gmail.com,http://2tpIHjKxvs.com,5143000884008126861,-8195160857875393310,Charyl Hulvershorn,Peter Panchen,University1,Director7,Professor11,University1,Course14,University1,College55,University1
TeachingAssistant25,40,doug.lessin@aim.com,http://2xSTgbY754uUoXx.com,-2125069574264407043,-521847401915350733,Doug Lessin,Ziad Mashura,University1,Person496,Chair7,University1,Course7,University1,Institute11,University1
TeachingAssistant26,54,rana.lapostolle@live.com,http://R96i4mdhqT.com,-4903099128367845675,741724316202811768,Rana Lapostolle,Ranice Kneisel,University1,Software13,AssistantProfessor13,University1,Course10,University1,University1,University1
TeachingAssistant27,31,tamar.mccrimmon@netdove.net,http://McRy1ID2uk.com,-2772530695419672280,4346452702216244807,Tamar McCrimmon,Hensley Schmadtke,University1,Student277,Professor8,University1,Course9,University1,College62,University1
TeachingAssistant28,73,thanh-hoa.hoggan@outlook.com,http://M8QqigEWK.com,-7450356220843386956,558235593054846929,Thanh-Hoa Hoggan,Mack Smithdeal,University1,FullProfessor14,VisitingProfessor3,University1,GraduateCourse26,University1,University1,University1
TeachingAssistant29,36,lisette.o'regan@aim.com,http://uTlj10.com,7468821370571163731,8824180780459260096,Lisette O'Regan,Melbourne Deans,University1,TeachingAssistant28,VisitingProfessor4,University1,GraduateCourse28,University1,ResearchGroup2,University1
TeachingAssistant30,59,radio.pillars@hotmail.com,http://pBPkDsnnLli5.com,-5601531009105342422,-2492325392497297260,Radio Pillars,Yonik Burdett,University1,Book14,Professor12,University1,GraduateCourse26,University1,Program14,University1
